model;layer count;img size;filter count;neuron count;params;final epoch;train_acc;train_loss;val_acc;val_loss;test_acc;test_loss
CNN;3;64x64;32;256;1274694;13;0.8269040584564209;0.49735134840011597;0.72265625;0.8636339902877808;0.718875527381897;0.9006983637809753
CNN;3;64x64;128;256;6199302;11;0.7601384520530701;0.6469504237174988;0.68359375;0.873106837272644;0.6987951993942261;0.8657495975494385
CNN;3;128x128;64;64;3582534;11;0.7096933722496033;0.7762103080749512;0.65234375;0.964468777179718;0.6787148714065552;0.9312031865119934
CNN;2;64x64;32;32;421030;19;0.6958457231521606;0.7337895631790161;0.6328125;0.9753791093826294;0.6746987700462341;0.938374936580658
CNN;2;64x64;128;256;13145606;6;0.6429277658462524;0.9527543783187866;0.6328125;1.0828616619110107;0.6746987700462341;0.9628170728683472
CNN;3;64x64;64;256;2731910;10;0.721068263053894;0.7458305954933167;0.67578125;0.8855176568031311;0.6706827282905579;0.8878016471862793
CNN;3;64x64;128;32;2068966;25;0.7255192995071411;0.6904127597808838;0.6953125;0.9027848243713379;0.6706827282905579;1.1107702255249023
CNN;2;64x64;32;64;822662;22;0.778931736946106;0.5467562675476074;0.66015625;0.9767455458641052;0.6626505851745605;0.9699531197547913
CNN;3;64x64;128;64;2659014;18;0.7378832697868347;0.6946767568588257;0.65625;0.9599392414093018;0.6626505851745605;1.0330196619033813
CNN;2;64x64;64;256;6499974;10;0.8155291676521301;0.5213776230812073;0.6640625;0.9948106408119202;0.6465863585472107;1.123348593711853
CNN;3;128x128;32;256;6517574;7;0.6879327297210693;0.8531482219696045;0.62890625;0.9373400211334229;0.6465863585472107;1.0114610195159912
CNN;3;64x64;32;64;388614;14;0.7309594750404358;0.693476676940918;0.64453125;0.878308117389679;0.6345381736755371;0.9061331748962402
CNN;1;128x128;128;64;32518086;19;0.7314540147781372;0.6598325967788696;0.5703125;1.2231566905975342;0.6184738874435425;1.0980825424194336
CNN;2;64x64;32;256;3232454;8;0.758654773235321;0.6847637891769409;0.65234375;1.040716528892517;0.6184738874435425;1.065667748451233
CNN;2;64x64;64;64;1681734;18;0.8273985981941223;0.483316570520401;0.671875;0.9729942083358765;0.6184738874435425;1.2237528562545776
CNN;3;64x64;32;32;240934;25;0.5999010801315308;0.9667874574661255;0.578125;1.0325641632080078;0.6144578456878662;1.0302904844284058
CNN;3;64x64;64;32;665958;26;0.6206725835800171;0.8730995655059814;0.6640625;0.9304947257041931;0.6144578456878662;1.0444221496582031
CNN;1;64x64;32;256;7875206;6;0.784866452217102;0.6438704133033752;0.5859375;1.1403576135635376;0.6104417443275452;1.132582664489746
CNN;2;64x64;128;64;3510470;9;0.6513352990150452;0.9189803600311279;0.59375;1.100032925605774;0.6104417443275452;1.1029943227767944
CNN;3;128x128;32;64;1699334;7;0.6261127591133118;0.9810784459114075;0.640625;0.9734846949577332;0.6104417443275452;1.0362979173660278
CNN;3;128x128;64;32;1976678;18;0.670128583908081;0.798561155796051;0.609375;1.0959283113479614;0.6104417443275452;1.1474518775939941
CNN;3;128x128;128;256;27170822;11;0.7883284091949463;0.5908713340759277;0.63671875;1.051301121711731;0.6064257025718689;1.1263762712478638
CNN;2;128x128;32;64;3706246;5;0.6577646136283875;0.9044512510299683;0.5859375;1.1047933101654053;0.6024096608161926;1.1142449378967285
CNN;1;64x64;128;32;3940070;12;0.6285855770111084;0.9492372870445251;0.55078125;1.1617976427078247;0.5983935594558716;1.1508452892303467
CNN;2;128x128;32;256;14766790;6;0.721068263053894;0.768669605255127;0.59765625;1.1708624362945557;0.5983935594558716;1.1418381929397583
CNN;3;128x128;128;64;7901894;11;0.6879327297210693;0.8432765603065491;0.62109375;0.9704383015632629;0.5983935594558716;1.0729084014892578
CNN;2;64x64;64;32;878694;13;0.6236399412155151;0.9551113843917847;0.56640625;1.1752113103866577;0.5903614163398743;1.170048475265503
CNN;1;128x128;128;256;130061574;4;0.6859545111656189;0.8585366606712341;0.55078125;1.1914339065551758;0.5823293328285217;1.143986463546753
CNN;3;64x64;64;64;961094;11;0.6785361170768738;0.8502858877182007;0.6328125;0.9478915929794312;0.5823293328285217;1.0650744438171387
CNN;3;128x128;64;256;13217670;5;0.613254189491272;1.041600227355957;0.62890625;0.981078565120697;0.5783132314682007;1.0742864608764648
CNN;1;64x64;64;64;3938502;6;0.6622156500816345;0.9000909328460693;0.55859375;1.1817758083343506;0.5742971897125244;1.1511952877044678
CNN;1;64x64;64;256;15748614;5;0.6859545111656189;0.87548828125;0.5859375;1.1440832614898682;0.5702811479568481;1.1335097551345825
CNN;1;64x64;128;256;31495430;4;0.6538081169128418;0.9631053805351257;0.5625;1.1085845232009888;0.5702811479568481;1.1155205965042114
CNN;2;128x128;64;32;3762278;12;0.6716122627258301;0.8037068843841553;0.59375;1.1156086921691895;0.5662650465965271;1.1329066753387451
CNN;3;128x128;32;32;896294;19;0.5365974307060242;1.0556334257125854;0.55859375;1.2739999294281006;0.5662650465965271;1.2885888814926147
CNN;1;64x64;32;64;1969478;20;0.6819980144500732;0.7806119322776794;0.5546875;1.0754139423370361;0.5582329034805298;1.1606754064559937
CNN;2;64x64;128;32;1904614;21;0.6236399412155151;0.8946228623390198;0.6328125;0.9982743859291077;0.5582329034805298;1.1860567331314087
CNN;2;128x128;128;32;7671782;13;0.6068249344825745;0.9756322503089905;0.609375;1.1051621437072754;0.5582329034805298;1.2431719303131104
CNN;1;64x64;64;32;1970150;13;0.5405539274215698;1.0654196739196777;0.53125;1.2467211484909058;0.5542168617248535;1.274421215057373
CNN;1;128x128;128;32;16260838;17;0.6958457231521606;0.7176403403282166;0.5703125;1.2067457437515259;0.5542168617248535;1.278622031211853
CNN;2;128x128;64;256;29568646;4;0.5855588316917419;1.0774438381195068;0.5625;1.1849554777145386;0.5542168617248535;1.2220476865768433
CNN;1;128x128;32;64;8129862;28;0.6651830077171326;0.7802280187606812;0.59375;1.202418327331543;0.5461847186088562;1.37392258644104
CNN;1;128x128;32;256;32516742;9;0.741345226764679;0.7156813144683838;0.5859375;1.1036057472229004;0.5421686768531799;1.1562979221343994
CNN;2;128x128;128;256;59282950;7;0.7309594750404358;0.7318096160888672;0.58984375;1.153943419456482;0.5381526350975037;1.2961366176605225
CNN;1;64x64;32;32;985190;25;0.5717111825942993;1.0144518613815308;0.53125;1.1852478981018066;0.522088348865509;1.2753407955169678
CNN;1;64x64;128;64;7876550;10;0.6770524382591248;0.8321319222450256;0.5078125;1.1576220989227295;0.5140562057495117;1.1531033515930176
CNN;2;128x128;32;32;1862822;10;0.5687438249588013;1.0055979490280151;0.5390625;1.1778664588928223;0.5140562057495117;1.1782156229019165
CNN;2;128x128;64;64;7448902;6;0.6330366134643555;0.9554183483123779;0.546875;1.1536829471588135;0.5140562057495117;1.145659327507019
CNN;2;128x128;128;64;15044806;7;0.5697329640388489;1.1129671335220337;0.5;1.2087725400924683;0.5060241222381592;1.1950916051864624
CNN;1;128x128;64;64;16259270;25;0.591493546962738;1.0174092054367065;0.5703125;1.2088099718093872;0.48995983600616455;1.4977080821990967
CNN;1;128x128;64;256;65031686;4;0.7383778691291809;0.7484331130981445;0.5234375;1.221125602722168;0.4738955795764923;1.2882766723632812
CNN;1;128x128;32;32;4065382;19;0.5064292550086975;1.237700343132019;0.46484375;1.3858144283294678;0.4538152515888214;1.4288592338562012
CNN;1;128x128;64;32;8130534;25;0.42136499285697937;1.3470501899719238;0.4296875;1.4134366512298584;0.41767069697380066;1.4635576009750366
CNN;3;128x128;128;32;4690406;30;0.33728981018066406;1.4525498151779175;0.359375;1.5598641633987427;0.3855421543121338;1.4737937450408936
