model,layer count,img size,filter count,neuron count,params,final epoch,train_acc,train_loss,val_acc,val_loss,test_acc,test_loss
CNN,2,128x128,32,32,1862822,11,0.4169139564037323,1.3436659574508667,0.4921875,1.395079493522644,0.40963855385780334,1.4397079944610596
CNN,2,128x128,128,256,59282950,9,0.8219584822654724,0.49456819891929626,0.49609375,1.6555700302124023,0.6064257025718689,1.141489028930664
CNN,2,128x128,128,64,15044806,16,0.7749752998352051,0.5939603447914124,0.53515625,1.5389772653579712,0.5823293328285217,1.2077159881591797
CNN,2,128x128,128,32,7671782,10,0.4090009927749634,1.3901867866516113,0.4609375,1.380812168121338,0.41767069697380066,1.3632128238677979
CNN,1,64x64,64,256,15748614,8,0.8397626280784607,0.4963397979736328,0.55078125,1.1851112842559814,0.5702811479568481,1.1509411334991455
CNN,1,64x64,64,64,3938502,11,0.7141444087028503,0.7388564348220825,0.5625,1.1945420503616333,0.5823293328285217,1.1256985664367676
CNN,1,64x64,64,32,1970150,15,0.47725024819374084,1.2145358324050903,0.51953125,1.3387787342071533,0.4417670667171478,1.4161795377731323
CNN,1,64x64,32,256,7875206,10,0.9104846715927124,0.32377898693084717,0.53125,1.428792119026184,0.5943775177001953,1.0884455442428589
CNN,1,64x64,32,64,1969478,14,0.7082096934318542,0.7560009956359863,0.56640625,1.1185839176177979,0.5903614163398743,1.1488730907440186
CNN,1,64x64,32,32,985190,9,0.3921859562397003,1.441658616065979,0.44921875,1.4158157110214233,0.39759036898612976,1.4560719728469849
CNN,1,64x64,128,256,31495430,9,0.9094955325126648,0.3177703022956848,0.53125,1.5140416622161865,0.5823293328285217,1.1138843297958374
CNN,1,64x64,128,64,7876550,12,0.7453016638755798,0.673916757106781,0.59375,1.209294319152832,0.5421686768531799,1.1390447616577148
CNN,1,64x64,128,32,3940070,17,0.5252225399017334,1.2373191118240356,0.5078125,1.4159939289093018,0.47791165113449097,1.344415545463562
CNN,1,128x128,64,256,65031686,8,0.8862512111663818,0.3747943639755249,0.50390625,1.4045913219451904,0.5662650465965271,1.1573114395141602
CNN,1,128x128,64,64,16259270,18,0.7729970216751099,0.5746111869812012,0.5,1.4080411195755005,0.5100401639938354,1.1758161783218384
CNN,1,128x128,64,32,8130534,12,0.42581602931022644,1.3265138864517212,0.4140625,1.4929795265197754,0.4417670667171478,1.4907951354980469
CNN,1,128x128,32,256,32516742,6,0.8353115916252136,0.517998218536377,0.46875,1.3868341445922852,0.5421686768531799,1.182978868484497
CNN,1,128x128,32,64,8129862,18,0.7576656937599182,0.6277233362197876,0.5390625,1.2639641761779785,0.6104417443275452,1.1216319799423218
CNN,1,128x128,32,32,4065382,12,0.23293767869472504,1.733237862586975,0.25390625,1.7438790798187256,0.24899598956108093,1.743545651435852
CNN,1,128x128,128,256,130061574,9,0.9485657811164856,0.20392872393131256,0.50390625,1.784029245376587,0.5742971897125244,1.1601909399032593
CNN,1,128x128,128,64,32518086,14,0.719584584236145,0.7333447337150574,0.4453125,1.463192105293274,0.5542168617248535,1.2531620264053345
CNN,1,128x128,128,32,16260838,16,0.23293767869472504,1.7271728515625,0.25390625,1.741806149482727,0.22891566157341003,1.7483067512512207
