model,layer count,img size,filter count,neuron count,params,final epoch,train_acc,train_loss,val_acc,val_loss,test_acc,test_loss
CNN,2,64x64,64,64,1681734,16,0.7220573425292969,0.7190026640892029,0.64453125,1.0903708934783936,0.6305220723152161,1.0414592027664185
CNN,2,64x64,64,32,878694,18,0.5860534310340881,1.014200210571289,0.6015625,1.227723479270935,0.5783132314682007,1.174514889717102
CNN,2,64x64,32,256,3232454,12,0.7982195615768433,0.5711246728897095,0.640625,1.093871831893921,0.6345381736755371,1.0381001234054565
CNN,2,64x64,32,64,822662,9,0.49010881781578064,1.2307515144348145,0.5390625,1.2417335510253906,0.49799197912216187,1.3139246702194214
CNN,2,64x64,32,32,421030,10,0.37388724088668823,1.4490513801574707,0.390625,1.4007333517074585,0.4457831382751465,1.3991130590438843
CNN,2,64x64,128,256,13145606,13,0.7467853426933289,0.6960766911506653,0.60546875,1.1497445106506348,0.6305220723152161,1.142153263092041
CNN,2,64x64,128,64,3510470,9,0.5385756492614746,1.138070821762085,0.5546875,1.188098669052124,0.5301204919815063,1.1343251466751099
CNN,2,64x64,128,32,1904614,11,0.4347181022167206,1.3463696241378784,0.4765625,1.3128032684326172,0.46987950801849365,1.3184856176376343
CNN,2,128x128,64,256,29568646,9,0.8209693431854248,0.5413146018981934,0.609375,1.2793856859207153,0.6184738874435425,1.0381959676742554
CNN,2,128x128,64,64,7448902,11,0.6632047295570374,0.8728683590888977,0.5859375,1.221548318862915,0.5742971897125244,1.1203595399856567
CNN,2,128x128,64,32,3762278,14,0.529179036617279,1.0301923751831055,0.5234375,1.3159995079040527,0.4819277226924896,1.3311147689819336
CNN,2,128x128,32,256,14766790,10,0.8026705980300903,0.5714532136917114,0.4921875,1.6302454471588135,0.6104417443275452,1.0548659563064575
CNN,2,128x128,32,64,3706246,18,0.6696340441703796,0.8251579999923706,0.54296875,1.1878217458724976,0.5903614163398743,1.1076058149337769
CNN,2,128x128,32,32,1862822,17,0.5435212850570679,1.0076780319213867,0.55078125,1.2579537630081177,0.5542168617248535,1.1971317529678345
CNN,2,128x128,128,256,59282950,10,0.8565776348114014,0.4288567006587982,0.56640625,1.3966392278671265,0.5542168617248535,1.1181119680404663
CNN,2,128x128,128,64,15044806,8,0.6008902192115784,1.0058718919754028,0.51171875,1.2643158435821533,0.4859437644481659,1.2676079273223877
CNN,2,128x128,128,32,7671782,13,0.4619188904762268,1.2460349798202515,0.41796875,1.4050213098526,0.47791165113449097,1.2882715463638306
CNN,1,64x64,64,256,15748614,9,0.745796263217926,0.7173901796340942,0.609375,1.104396104812622,0.5823293328285217,1.1224710941314697
CNN,1,64x64,64,64,3938502,12,0.523244321346283,1.1547808647155762,0.4453125,1.3291505575180054,0.5261043906211853,1.2282359600067139
CNN,1,64x64,64,32,1970150,13,0.462907999753952,1.201574683189392,0.44921875,1.3826619386672974,0.4618473947048187,1.3942866325378418
CNN,1,64x64,32,256,7875206,10,0.7344213724136353,0.7306554317474365,0.5390625,1.2449506521224976,0.5823293328285217,1.1203160285949707
CNN,1,64x64,32,64,1969478,20,0.5286844968795776,1.116834282875061,0.453125,1.3373967409133911,0.46987950801849365,1.3516982793807983
