model;layer count;img size;filter count;neuron count;params;final epoch;train_acc;train_loss;val_acc;val_loss;test_acc;test_loss
MLP (Small MLP);1;64x64;-;128;1573766;13;0.501483678817749;1.330746054649353;0.48046875;1.4177616834640503;0.44979920983314514;1.4839447736740112
MLP (Wide MLP);1;64x64;-;512;6295046;14;0.4411473870277405;1.461243748664856;0.3984375;1.4917147159576416;0.38955822587013245;1.4479557275772095
MLP (Deep MLP);3;64x64;-;256->128->64;3187526;20;0.5806132555007935;1.1025768518447876;0.5390625;1.2817556858062744;0.5180723071098328;1.3254002332687378
MLP (Dropout MLP);2;64x64;-;256->128 (Drop);3179654;2;0.22205737233161926;1.7403136491775513;0.234375;1.7130180597305298;0.2409638613462448;1.6918805837631226
